ciclo,codigo_seccion,nombre,descripcion
2024-II,2024-II-3A,Caserito,El proyecto se enfoca en que las personas puedan encontrar un restaurante o puesto de acuerdo a su bolsillo sin la necesidad de acercarse al local fisico  y de esta manera encontrar la mejor opción que se acomode a su economia y ademas de ello ayudara a los pequeños locales a impulsar sus negocios ya que ellos podran registrarse en nuestra plataforma ofreciendo su servicios y sus costos para que el cliente pueda cotizar al menor precio.
2024-I,2024-I-3A,Encuentrame,Aplicación que brinda información de personas que dan servicios domesticos segun tu ubicación. También se puede ver las recomendaciones de otros usuarios
2023-I,2023-I-3A,Nuecesypasas.pe,"Una aplicación que permitirá a los usuarios realizar la compra de frutos secos. Esta ofrecerá la opción de escoger entre una gran variedad de frutos secos, y además también podrán especificar la cantidad que deseen ordenar. Contará con varios métodos de pago para la comodidad de los clientes. Además contará con la opción de que el usuario se cree una cuenta para poder acumular puntos y tener ofertas especiales."
2022-II,2022-II-3A,Pulband,"El siguiente proyecto busca medir la frecuencia cardíaca de un individuo cuando este se encuentre bajo una situación poco favorable con el objetivo de identificar sintomas de intimidación o acoso escolar.  Asimismo, el producto contará con una página web informativa sobre lo que realiza el producto"
2022-I,2022-I-3A,Cuidemos de Anita,"Es un programa que esta relacionado con la seguridad ciudadana de un Distrito, se encargara de enviar una alerta en un aplicativo movil y mostrar un mapeo de delincuetes por sectores un sitio web."
2021-I,2021-I-3A,AlohaHome,"AlohaHome es una aplicación que tiene como finalidad facilitar la búsqueda, compra, venta y alquiler de propiedades, permitiendo así que distintas personas en el país puedan realizar una búsqueda simple, eficiente y económica de propiedades en las que estén interesados. Así como realizar la venta de sus propiedades, ponerlas en alquiler, o arrendarlas de manera temporal según su conveniencia y situación. La aplicación se encuentra disponible tanto de manera web como en móviles, de tal manera que los usuarios puedan realizar un seguimiento de las propiedades en cualquier momento dado del día."
2020-II,2020-II-3A,conociendo al Perú,"una aplicacion que se encarga de dar a conocer los lugares mas turisticos de la provincia de Piura con el objetivo incrementar el porcentaje de turismo en el pais, incentivar a los ciudadanos a conocer más sobre nuestra cultura"
2026-I,2026-I-4A,Thynkra,"El proyecto consiste en el desarrollo de un sistema de simulación interactiva que utiliza inteligencia artificial para generar dinámicamente preguntas y escenarios en tiempo real. Su objetivo es mejorar el aprendizaje y la toma de decisiones mediante situaciones contextualizadas que se adaptan al usuario. La aplicación web, desarrollada con React, permitirá la interacción con los escenarios, mientras que el backend integrará servicios de IA como OpenAI API para generar y evaluar las respuestas. Además, se utilizará Firebase para gestionar usuarios y almacenar resultados. El sistema presentará un escenario, generará preguntas basadas en este, evaluará las respuestas del usuario y registrará su desempeño, ofreciendo una experiencia de aprendizaje dinámica y personalizada."
2025-II,2025-II-4A,Fabulae,"Fabulae es un juego educativo diseñado para convertir el aprendizaje en una experiencia divertida y motivadora.
Los estudiantes crean un personaje, exploran un mundo virtual dividido en zonas temáticas por curso y responden preguntas tipo trivia para avanzar, ganar recompensas y subir de nivel.
Los profesores pueden subir contenido, monitorear el progreso de sus alumnos y organizar eventos en tiempo real, fomentando la participación activa y el trabajo en equipo."
2024-II,2024-II-4A,X Project,Proyecto enfocado en brindar educacion financiera a adolescentes tardios y tempranos mediante una pagina interactiva asu vez de una implementacion de un  eCommerce donde se podran familirizar con el tema de la compra digital todo esto con el permiso del padre anticipadamente
2024-I,2024-I-4A,Nutritec,Esta aplicación te ayuda a tener un estilo de vida saludable ayudado con IA. Realiza seguimiento de actividad física y nutrición para obtener diagnósticos precisos y dietas personalizadas.
2023-I,2023-I-4A,Citas Ya!,"Software web que  brinda el servicio a los usuarios del centro
médico para administrar reservas de citas médicas de forma segura, eficiente y
a distancia. Esta herramienta digital permitirá al centro médico atender a los
pacientes, de forma virtual y presencial, aumentando la rentabilidad de los
resultados, así como también mantener una buena reputación, además de eso,
funcionar de manera organizada; automatizando acciones y ofreciendo atención
las 24/7 al paciente."
2022-II,2022-II-4A,SignalB,Desarrollar una herramienta móvil o web que presente la facilidad de utilización en las diferentes plataformas para los estudiantes de Tecsup. En la cual se realizará él envió anónimo o privado a las autoridades nombradas en la institución para la solución de casos de bullying que esté presentando el estudiante ya sea por medio de la redacción de las situaciones que ha sufrido. Esta herramienta también serviría para recaudar datos de casos de bullying en las diferentes entidades educativas.
2022-I,2022-I-4A,Automatización del proceso de selección de personal,"Dicho programa tiene como finalidad ayudar a las empresas a poder mejorar y facilitar el proceso de selección de personal para el área que se necesite, dando su mejor opción."
2021-II,2021-II-4A,"𝙏𝙪𝙗𝙤𝙙𝙚𝙜𝙖.𝙥𝙚
(Nombre pendiente...)","𝙏𝙪𝙗𝙤𝙙𝙚𝙜𝙖.𝙥𝙚 : Es una app la cual ayuda usuario a poder encontrar 
una bodega cerca de su localización la cual se mostrará en un mapa los 
puntos más cercanos. Ademas los usuarios registrados en la app
pueden agregar una bodega, junto con ello podemos darle una etiqueta 
de que se puede encontrar en la bodega (agente de banco, 
recarga de saldo u otros) y el poder calificar estas bodegas siendo estas
administradas por el propietario (una vez verificado)  o la misma app."
2021-I,2021-I-4A,RuTrux,"“RuTrux” es una herramienta móvil la cual permite a los usuarios del transporte público en Trujillo (El Porvenir, La Esperanza, Florencia de Mora, entre otros) conocer e identificar las rutas de viaje interurbano para su destino, RuTrux te indicará que numero y/o letra de bus se debe tomar y de que empresa es dicho bus junto a su ruta correspondiente."
2020-II,2020-II-4A,"FOOD (Fresh, Organic and Original Food)","FOOD es una aplicación de comida casera que facilitará la hora de comer, contará con distintos platos de almuerzo para todos los gustos. Esto podría ayudar a muchos padres y jóvenes a obtener su comida de una forma accesible, económica y segura; debido a la falta de tiempo  para cocinar en estas fechas, donde el teletrabajo y las clases consumen la mayor parte de nuestros días."
2026-I,2026-I-5A,ProSync,"ProSync es una plataforma colaborativa que ayuda a las empresas a organizar proyectos y sincronizar equipos en un solo lugar. Con tableros visuales y tareas dinámicas, permite asignar responsables, establecer plazos y dar seguimiento al progreso en tiempo real. Su objetivo es simplificar la gestión del trabajo y garantizar que cada proyecto avance de forma ordenada, productiva y sin perder comunicación entre los miembros del equipo."
2025-II,2025-II-5A,TecMiner,"TecMiner es un sistema de gestión minera que permite controlar zonas de extracción, equipos y personal desde un panel web administrativo y una app móvil para trabajadores. Incluye un asistente de IA para consultas operativas y genera reportes automatizados de productividad y costos. La plataforma optimiza las operaciones mineras mediante el monitoreo en tiempo real y la centralización de información."
2024-II,2024-II-5A,TecsupRecord,Una aplicacion que ayude a registrar los proyectos integradores de la carrera de diseño y desarrollo de software desde el 2018 hasta la actualidad y futuro
2024-I,2024-I-5A,Glassdoor,"Sitio web de bolsa de trabajo para Tecsup, que ayuda a la mejor conexion entre empleado y empleador, implentando resenas de las empresas, como  alquilando espacio para que las empresas promocionen sus listados. como membresias a los usuarios, y consigan ofertas laborales de manera rapida."
2023-I,2023-I-5A,Menu Tecsup,"Debido a la alta demanda de desayunos, nos hemos dicidido a desarrollar una aplicacion movil y pagina web, que permita a un usuario poder realizar un 
pedido previo, como primer paso se desarrollara un login principal, para el registro y acceso al usuario, por ende podra hacer uso de todas las funcionalidades
del sistema; como segundo paso, abra 3 paneles en la pagina principal, la cual consta de 1.- solicitar pedido (Sera un panel de los productos disponibles para escoger una de ellas),
2.- pagar pedido(Sera un panel donde se podra pagar el pedido solicitado mediante difentes formas de pago
como yape, plin o tarjeta )"
2022-II,2022-II-5A,Share Help,"Desarrollaremos una aplicación web o móvil que nos ayude a recopilar información mediante el uso de cuestionarios hacia el estudiante y a personas terceras (Padres, Profesores). Esta nos ayudará a comparar la información obtenida y así dará una respuesta sobre si el alumno está sometido bajo presiones o acosos."
2022-I,2022-I-5A,la tia veneno*,"La Tia Veneno® es una app web SPA (Single Page Application) de la cadena de restaurantes peruana ""La Tia Veneno"", donde se mostrará las diferentes categorias de comida, y las lista de menus de cada una de estas. El cliente podra seleccionar las comidas que pedira, verlo en el carrito de pedidos y efectuar con el metodo de pago virtual."
2021-II,2021-II-5A,TuHogar,"TuHogar : Es una plataforma donde podrás obtener una gran experiencia para poder encontrar en dónde gustaría  vivir  cuenta con departamento en alquiler o ventas variados en todo el PERÚ   , la cual esta plataforma te permitirá en  observar en tiempo real(tipo streaming en vivo)  muy detalladamente habitaciones,baños,salas,cocina,etc; pero previamente el cliente debe realizar una cita con el proveedor para poder entrar al streaming y navegar todo el area que ofrece el departamento."
2021-I,2021-I-5A,ViGym,"ViGym será una plataforma que ayude a muchas personas en varios aspectos, ya sea física o emocionalmente."
2020-II,2020-II-5A,VirtualGym,"Nuestro proyecto se basa en la integración de un aplicativo movil de gimnasio virtual, que va dirigida al público que le encante hacer ejercicio pero por motivo de la pandemia se le ha restringido acceder a los Gym de su localidad. por ende, el aplicativo se actualiza de acuerdo a las novedades. Principalmente, hay distintos planes cada uno mejor que el anterior, para aquellos usuarios que están más introducidos a hacer ejercicios desde la comodidad de su hogar característica superior al anterior, como por ejemplo, asistencia las 24 horas por un entrador, y un horario más extenso."
2026-I,2026-I-6A,Liga1 Pro,"una aplicación enfocada en la Liga 1 del Perú, que permitirá a los usuarios consultar partidos, resultados en tiempo real y estadísticas. Además, incluirá personalización mediante equipos favoritos y un chat para interacción entre usuarios. El sistema integrará inteligencia artificial para predecir resultados y analizar el rendimiento de los equipos."
2025-II,2025-II-6A,UniRet,"UniRet es una plataforma digital diseñada para fortalecer la interacción social entre estudiantes de TECSUP, fomentando la colaboración, el apoyo mutuo y el trabajo en equipo. La aplicación permitirá crear grupos de interés, compartir experiencias, publicar contenidos y participar en foros temáticos de manera dinámica y segura. El objetivo es construir una comunidad estudiantil activa que potencie las habilidades comunicativas y sociales en un entorno confiable y motivador."
2024-II,2024-II-6A,QuickRegister,"Es una solución avanzada para la gestión de inventario y ventas en minimarkets y tiendas de abarrotes. Este sistema integra comandos de voz a través de Alexa para simplificar la administración de productos, permitiendo agregar y eliminar artículos de forma rápida y precisa. Este proyecto automatiza el registro de ventas y mantiene el inventario actualizado en tiempo real, ofreciendo una herramienta intuitiva que optimiza el flujo de trabajo diario y mejora la eficiencia operativa en pequeños comercios."
2024-I,2024-I-6A,Talentrade,Una plataforma Web/Móvil innovadora que permite a los vecinos ofrecer e intercambiar sus habilidades y servicios con otros usuarios.
2023-I,2023-I-6A,ReportaloYa,"Una aplicación web y móvil que funcione como un canal de denuncias anónimas de manera virtual en el que se asegure el que se busca proteger la seguridad del alumno. El acceso a la aplicación es mediante usuario y contraseña, en esta existirán 3 clases: el alumno, el tutor/psicologo y el personal administrativo. El alumno podrá ver una interfaz amigable y facil de entender para ver las recientes noticias reportadas en el cual solo se verán sin ver quien los reportó, el tutor/psicólogo podra ver una interfaz con las noticias pero con etiquetas que poseen los alumnos al crearse la cuenta (grado y sección) mas no podran ver el nombre de quien lo reporta, por ultimo el personal administrativo se encargará de poder darle el permiso a la cuenta de los profesores, para evitar que alumnos intenten hacerse pasar por uno. Además, a traves de IA y un chat interactivo se podrá identificar posibles alumnos que tengan problemas relacionados a su integridad."
2022-I,2022-I-6A,Attend,"Es un aplicativo web cuya finalidad es que los alumnos de Tecsup confirmen su asistencia a clases y eventos organizados de manera presencial, además de hacer un seguimiento de todas sus asistencias."
2021-II,2021-II-6A,Odebrecht Emotional,app de reconocimiento de emociones mediante manera fácial donde si muestra una emoción este mostrará un tip de ayuda para cada situación.
2021-I,2021-I-6A,IntraGame,"Desarrollar un aplicativo móvil sobre noticias, actualizaciones, ofertas y demás respecto a Los videojuegos para gamers. Dicha aplicación contará con la opción de escoger las categorías de mayor interés en el usuario, para que así pueda filtrar la información general dependiendo de dichos intereses. Los usuarios podrán crear consultas abiertas y responderse entre ellos. Imaginemos un StackOverflow pero dedicado al Gaming para resumirlo."
2026-I,2026-I-1B,FireSupport IA,"Plataforma web y móvil que ayuda a los bomberos a recaudar fondos y gestionar campañas solidarias, conectándolos con ciudadanos y empresas. Permite realizar donaciones, difundir iniciativas y asegurar transparencia en el uso del dinero. Además, usa inteligencia artificial para optimizar campañas, analizar donaciones y mejorar su alcance"
2025-II,2025-II-1B,IntSoft,"Crear una plataforma digital dónde se pueda visualizar todos los proyectos integradores desde el año dónde se integró la carrera de Desarrollo de Software, el cual será una página dónde sesa de libre acceso tanto usuarios como docentes y público en general. Esta página contará con administradores en el cual podrán agregar, eliminar y modificar toda la información almacenada en la base de datos."
2025-I,2025-I-1B,Luxury Clothes,"Luxury Clothes será una página de e-commerce dedicada a actuar como intermediario en la compra y venta de ropa de lujo, conectando compradores con prendas exclusivas de alta gama, de forma segura, confiable y con estilo."
2024-II,2024-II-1B,MATHPLAY,"El fin de nuestro software es ofrecer una herramienta educativa efectiva e innovadora que mejore la forma en la que los estudiantes aprenden temas de matemáticas, además que ellos se diviertan, les interese y vean la app como un juego único y agradable."
2024-I,2024-I-1B,BitMind,"Una aplicación que ofrece lecciones cortas y concisas sobre una amplia variedad de temas (también realizadas  y subidas por los usuarios), diseñadas para el aprendizaje en breves períodos de tiempo. Podría incluir formatos como imágenes, mini quizzes, documentos, y breves videos educativos. La valoración por parte de la comunidad será importante."
2023-I,2023-I-1B,Del campo al barrio,"Una aplicacion web y movil que permite brindar un apoyo a los agricultores que cuentan con un excedente de productos y deseen venderlos para poder generar mayores ingresos, permite 2 funcionalidades principales de usuario y vendedor, uno orientado a la busqueda de informacion de productos en nuestro sistema y sus precios, mientras que el otro esta orientado mas a la publicacion del punto de venta donde abasteceran a los usuarios interesados."
2022-II,2022-II-1B,SenSaludPe,"Aplicación la cual dará recomendaciones para el bienestar del usuario, recibiendo constantemente información de la temperatura del usuario mediante un sensor el cual funcionara mediante Arduino, lo que se quiere es que se haga un senso constante del estado del usuario para darle una notificación en cuanto sea necesario (si se detecte una temperatura corporal fuera de lo normal). La alerta sera enviada a traves del aplicativo, para que el usuario este al tanto de los cambios en su cuerpo con respecto a la temperatura, esto podria servirle para que tenga en cuenta los cuidados necesarios para no agravar su estado actual. Asi tambien, contara con una pagina web la cual servira para tener conocimiento del uso de la app, asi como de información del cuidado de la salud que podrian serle de utilidad al usuario, es decir, esta web sera de uso complementario al aplicativo."
2022-I,2022-I-1B,EatFood,"Es un aplicativo de comida rapida que vende hamburguesas y pizzas, la cual tiene como finalidad que los usuarios hagan pedidos de manera virtual ya que incluye con el servicio de delivery"
2021-II,2021-II-1B,Adoptame.pe,"Adoptame.pe: Es una aplicacion movil acompañada con una pagina web, con la finalidad de buscarles un hogar a animales que han sido abandonados y postear en caso de perdidas las cuales se encontraran en su respectivo apartado. Nuestra meta es asociarnos con empresas que comparten nuestra vision sobre el cuidado de los animales ayudandonos con ciertas colaboraciones y donando para poder mejorar la aplicacion cada vez màs. Nuestras apps estaran disponibles para todos y sera muy facil de manejar pues se trata de un formato de vista y agregar contenido."
2021-I,2021-I-1B,FasAdmin,FazAdmin es un sistema de inventario diseñado para gestionar y administrar negocios. De esta manera le permitirá visulizar sus egresos e ingresos
2026-I,2026-I-2B,MarketMind AI,"MarketMind AI es una plataforma de gestión publicitaria potenciada por Inteligencia Artificial que automatiza la creación de anuncios y centraliza el control de campañas en un solo panel, permitiendo que la agencia y sus clientes colaboren, aprueben estrategias y visualicen resultados en tiempo real para acelerar el crecimiento del negocio."
2025-II,2025-II-2B,MatchPet,"Plataforma que mediante Inteligencia Artificial, analiza el estilo de vida de adoptantes potenciales y la personalidad de perros y gatos en refugios para sugerir los ""matches"" más compatibles."
2025-I,2025-I-2B,EstiloYa,Tienda virtual de venta de prendas (Polos y Poleras)  con diseños  y con funcionalidad opcional por parte del cliente a personalizar el diseño de la prenda a su gusto a traves de la implementación de IA generativa.
2024-II,2024-II-2B,noWAtch,Panel de television por intenet panel administrativo (IPTV).
2024-I,2024-I-2B,KRT ProManager,"Software especializado en la gestión de eventos de karate. Trabajamos de cerca con organizadores, competidores y aficionados para asegurarnos de que cada evento sea un éxito."
2023-II,2023-II-2B,Tecsuridad,"Nuestro programa se basa en una aplicación móvil intuitiva y fácil de usar que permite a los ciudadanos reportar situaciones de riesgo o delincuencia de manera instantánea. Esta información se procesa en tiempo real y se utiliza para enviar alertas a todos los usuarios cercanos a la ubicación del incidente,además, el programa integra un sistema de geolocalización avanzado que muestra un mapa en tiempo real con la ubicación de incidentes y delincuentes identificados por sectores."
2023-I,2023-I-2B,First Job,"Una aplicacion web que brinde puestos de trabajo para estudiantes de distintos institutos, con el fin de brindar experiencia laboral y preparalos para los areas de trabajo. Esta aplicacion tendra un registro de los estudiantes que se encuentran a partir del 4 ciclo, ademas se tendra como colaboradores a distintas entidades comerciales que promuevan la empleabilidad de los estudiantes sin experiencia."
2022-II,2022-II-2B,ReuneT,"ReuneT es un sistema que podrá crear grupos estudiantiles en los cuales se promoverá un  buen trato entre estudiantes de manera que se podrá reportar mensajes ofensivos y además los creadores tendrán acceso a opciones específicas para las tareas permitiendo colocar detalles como la fecha de entrega,  el titulo, agregar o quitar integrantes, entre otras funcionalidades."
2022-I,2022-I-2B,Sistema de Atención en Restaurante,"Es una aplicacion que administra las reservas que realizan los clientes, indicando la mesa en donde están los clientes, los alimentos y bebidas que solicitan todo referente al hostal King Panther. Dicha aplicacion contará con una página web, y tambien con una app móvil para que el cliente pueda iniciar sesión, verificar y/o seleccionar lo mencionado previamente."
2021-II,2021-II-2B,HelloWorld,Es una aplicación web donde se muestre y venda todo tipo de componentes tecnologicos
2021-I,2021-I-2B,CuyoPe,"Nuestra aplicación está dirigida a velar por las necesidades, cuidados y atenciones de los engreídos de la casa (las mascotas). Con esta aplicación podrás lleva el control del día a día tales como: apuntar visitas al veterinario más cercano a tu localidad, las desparasitaciones, vacunas, posibles alergias , utensilios y objetos para tu mascota."
2026-I,2026-I-3B,AutoClipper,"AutoClipper es una plataforma web y móvil que utiliza inteligencia artificial para convertir videos largos en clips cortos automáticamente, identificando momentos relevantes y optimizándolos para redes sociales; además, permite al usuario editar los clips antes de descargarlos o compartirlos, e incluye un panel administrativo para gestionar usuarios, contenido y el funcionamiento del sistema de manera escalable."
2025-II,2025-II-3B,Nexus,Es una plataforma de venta y reseña de videojuegos online. Que cuenta tambien con el apartado de foro para que los usuarios puedan compartir sus ideas y opiniones sobre la comunidad y los juegos en si. Y tambien contara con IA para recomendar juegos segun las preferencias de los usuarios
2025-I,2025-I-3B,TecBook,"TecBook es una aplicación exclusiva para la comunidad de TECSUP que facilita el trueque y la venta de productos, la conexión entre estudiantes y profesores, y la difusión de anuncios y eventos por departamentos. Los usuarios pueden intercambiar artículos, vender productos, recibir notificaciones sobre eventos y comunicados importantes, y tener acceso fácil a información académica y social. La plataforma promueve la interacción y colaboración, con un sistema de calificación y mensajería segura para garantizar transacciones confiables y una comunidad unida."
2024-I,2024-I-3B,TecSwap,"Es un software diseñado para facilitar la compra y venta de artículos nuevos o usados entre miembros de la comunidad Tecsup, fomentando el bienestar económico y ambiental de los miembros de nuestra institución."
2023-I,2023-I-3B,acomer.pe,"Desarrollar una aplicación móvil que ayude a los estudiantes de Tecsup a encontrar restaurantes cercanos y económicos, dentro una lista y calificaciones, que podria incluir características como geolocalización, filtros de precio, comentarios y calificaciones, información sobre el menú y horario de atención"
2022-II,2022-II-3B,Tecbus,Desarrollar una aplicación orientadora para los usuarios que quieran utilizar los servicios de buses de Tecsup.
2021-II,2021-II-3B,Food&Food,"App web para cadena de restaurante en el que se podran hacer pedidos desde su mesa usando la app (cada mesa tendra su codigo QR relacionada a el numero de la mesa para que el moso sepa a que mesa se le entregara el pedido), pedidos a domicilio y se podra ver el menu y promociones en tiempo real. l"
2021-I,2021-I-3B,ASurveys,"ASurveys es una aplicación con el objetivo de crear preguntas/encuestas
donde cualquier usuario pueda recibir respuestas en tiempo real, como
también reaccionar a publicaciones o responder encuestas/dudas
de la comunidad que sean públicas o más personalizadas para sus
contactos/amigos. Habrán categorías generales como comidas, series,
películas, juegos, educación, ventas, mascotas, vestimenta entre otras 
que se irán añadiendo acorde a las necesidades de los usuarios."
2026-I,2026-I-4B,MediSmart Clínica Integral,"es una plataforma web y móvil para la gestión de servicios médicos que integra inteligencia artificial para mejorar la interacción entre pacientes y la clínica. Permite agendar citas, recibir orientación básica mediante un asistente virtual y optimizar procesos administrativos, logrando una atención más rápida, eficiente y accesible en comparación con los sistemas tradicionales."
2025-II,2025-II-4B,TecUnify,"El sistema de Reservas Inteligentes TecUnify es una plataforma web y móvil que permite a los estudiantes reservar aulas y espacios de estudio de manera eficiente. Integra Inteligencia Artificial para predecir la disponibilidad de salones, optimizar horarios y recomendar el espacio ideal según las necesidades del usuario (aforo, equipamiento y horarios). Con ello se reduce la saturación, se evitan choques de reservas y se mejora la experiencia estudiantil."
2025-I,2025-I-4B,FisioPlus Rafael,"FisioPlus Rafael es una plataforma digital que permitirá a los pacientes continuar su tratamiento terapéutico desde casa, con seguimiento remoto en áreas como terapia neurológica, osteoarticular, psicoemocional y ocupacional. Será una herramienta intuitiva, accesible y diseñada para mantener una atención personalizada y profesional fuera del consultorio."
2024-II,2024-II-4B,TecEats,"Price Peek es la herramienta que hemos creado para encontrar precios de restaurantes en tiempo real. Con Price Peek, podemos acceder de manera rápida y sencilla a la información más actualizada sobre los precios de menús, platos y bebidas en nuestros restaurantes favoritos. Ya no necesitamos adivinar cuánto costará nuestra comida o hacer llamadas interminables para verificar precios."
2024-I,2024-I-4B,TecFood,"Tecfood Reservas es una aplicación exclusiva diseñada para la comunidad de Tecsup, ofreciendo una solución conveniente y eficiente para realizar reservas de comidas en las instalaciones del campus. Con una interfaz amigable y funciones personalizadas, Tecfood Reservas simplifica el proceso de reserva, garantizando una experiencia gastronómica fluida y satisfactoria para estudiantes, profesores y personal administrativo."
2023-I,2023-I-4B,GeniusTec,"GeniusTec es una aplicación digital que brinda resúmenes cortos, información sintetizada del temario de los estudiantes de Tecsup, buscando así generar conocimientos previos de cada tema en específico antes de cada clase, además incorporara la posibilidad de compartir apuntes y una sección de preguntas frecuentes para aclarar dudas."
