 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3A,,"Implementar un chatbot con Inteligencia Artificial en un e-commerce de venta de libros que permita a los usuarios recibir recomendaciones personalizadas, resolver dudas sobre productos y mejorar su experiencia de compra. Este sistema utilizará tecnologías como TensorFlow para analizar preferencias del usuario y sugerir libros según sus intereses, facilitando la búsqueda y fomentando la interacción dentro de la plataforma.",,,LearnArena,"LearnArena es una plataforma interactiva de quizzes tipo Kahoot, diseñada para hacer del aprendizaje y la evaluación una experiencia más dinámica y entretenida. Permite a usuarios participar en juegos de preguntas en tiempo real, acceder desde web o dispositivos móviles, y generar cuestionarios automáticamente mediante IA generativa.",,,,"Plataforma de salud mental desarrollada para una institución educativa que ofrece al estudiante una experiencia inmersiva mediante historias generadas por inteligencia artificial. Estas historias interpretan sus decisiones y analizan su comportamiento, permitiendo a psicólogos y docentes detectar tempranamente posibles riesgos en la salud psicológica a través de un panel de seguimiento.",,,Caserito,El proyecto se enfoca en que las personas puedan encontrar un restaurante o puesto de acuerdo a su bolsillo sin la necesidad de acercarse al local fisico  y de esta manera encontrar la mejor opción que se acomode a su economia y ademas de ello ayudara a los pequeños locales a impulsar sus negocios ya que ellos podran registrarse en nuestra plataforma ofreciendo su servicios y sus costos para que el cliente pueda cotizar al menor precio.,,,Encuentrame,Aplicación que brinda información de personas que dan servicios domesticos segun tu ubicación. También se puede ver las recomendaciones de otros usuarios,,,," ""MKADIR"" se enfoca en simplificar la experiencia de los usuarios al elegir restaurantes al proporcionar información completa, como acceder fácilmente al menú en línea antes de decidir dónde comer, y permitirles tomar decisiones informadas. También incluye la gestión de datos de productos y perfiles de usuarios registrados para una experiencia aún más personalizada.""",, Nuecesypasas.pe,"Una aplicación que permitirá a los usuarios realizar la compra de frutos secos. Esta ofrecerá la opción de escoger entre una gran variedad de frutos secos, y además también podrán especificar la cantidad que deseen ordenar. Contará con varios métodos de pago para la comodidad de los clientes. Además contará con la opción de que el usuario se cree una cuenta para poder acumular puntos y tener ofertas especiales. ",Pulband,"El siguiente proyecto busca medir la frecuencia cardíaca de un individuo cuando este se encuentre bajo una situación poco favorable con el objetivo de identificar sintomas de intimidación o acoso escolar.  Asimismo, el producto contará con una página web informativa sobre lo que realiza el producto  ",Cuidemos de Anita,"Es un programa que esta relacionado con la seguridad ciudadana de un Distrito, se encargara de enviar una alerta en un aplicativo movil y mostrar un mapeo de delincuetes por sectores un sitio web.",,"Una aplicacion que permita a los usuarios del transporte público en Lima las rutas del transporte publico,la app mostrara de acuerdo a su ubicacion y destino la mas optima ruta de transporte publico, la informacion podra ser enviada por voz o textualmente.

",AlohaHome,"AlohaHome es una aplicación que tiene como finalidad facilitar la búsqueda, compra, venta y alquiler de propiedades, permitiendo así que distintas personas en el país puedan realizar una búsqueda simple, eficiente y económica de propiedades en las que estén interesados. Así como realizar la venta de sus propiedades, ponerlas en alquiler, o arrendarlas de manera temporal según su conveniencia y situación. La aplicación se encuentra disponible tanto de manera web como en móviles, de tal manera que los usuarios puedan realizar un seguimiento de las propiedades en cualquier momento dado del día.",conociendo al Perú,"una aplicacion que se encarga de dar a conocer los lugares mas turisticos de la provincia de Piura con el objetivo incrementar el porcentaje de turismo en el pais, incentivar a los ciudadanos a conocer más sobre nuestra cultura",Conocimiento Cultural Peruano,"Una aplicación de turismo para las personas que desean visitar el Perú,o incluso a los mismos ciudadanos que desean visitar otras regiones del Perú"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bookhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A,Thynkra,"El proyecto consiste en el desarrollo de un sistema de simulación interactiva que utiliza inteligencia artificial para generar dinámicamente preguntas y escenarios en tiempo real. Su objetivo es mejorar el aprendizaje y la toma de decisiones mediante situaciones contextualizadas que se adaptan al usuario. La aplicación web, desarrollada con React, permitirá la interacción con los escenarios, mientras que el backend integrará servicios de IA como OpenAI API para generar y evaluar las respuestas. Además, se utilizará Firebase para gestionar usuarios y almacenar resultados. El sistema presentará un escenario, generará preguntas basadas en este, evaluará las respuestas del usuario y registrará su desempeño, ofreciendo una experiencia de aprendizaje dinámica y personalizada.",,,Fabulae,"Fabulae es un juego educativo diseñado para convertir el aprendizaje en una experiencia divertida y motivadora.
Los estudiantes crean un personaje, exploran un mundo virtual dividido en zonas temáticas por curso y responden preguntas tipo trivia para avanzar, ganar recompensas y subir de nivel.
Los profesores pueden subir contenido, monitorear el progreso de sus alumnos y organizar eventos en tiempo real, fomentando la participación activa y el trabajo en equipo.",,,,"Plataforma Inteligente de Predicción y Recomendación para la Agricultura
 Una aplicación basada en IA que permite a los agricultores ingresar datos sobre su terreno (tipo de suelo, ultima siembra, etc.) y recibir predicciones precisas sobre el rendimiento de sus cosechas el uso de sus fertilizantes, además de recomendaciones personalizadas para mejorar la productividad y captar mejores precios.",,,X Project,Proyecto enfocado en brindar educacion financiera a adolescentes tardios y tempranos mediante una pagina interactiva asu vez de una implementacion de un  eCommerce donde se podran familirizar con el tema de la compra digital todo esto con el permiso del padre anticipadamente,,,Nutritec,Esta aplicación te ayuda a tener un estilo de vida saludable ayudado con IA. Realiza seguimiento de actividad física y nutrición para obtener diagnósticos precisos y dietas personalizadas.,,,,"""TecNet"" es un aplicativo diseñado para que los estudiantes puedan subir imagenes de incidentes dentro de la institucion , los cuales podran ser votados por los usuarios para que se vea cual es el incidente de mayor prioridad de mantenimiento para los estudiantes",,Citas Ya!,"Software web que  brinda el servicio a los usuarios del centro
médico para administrar reservas de citas médicas de forma segura, eficiente y
a distancia. Esta herramienta digital permitirá al centro médico atender a los
pacientes, de forma virtual y presencial, aumentando la rentabilidad de los
resultados, así como también mantener una buena reputación, además de eso,
funcionar de manera organizada; automatizando acciones y ofreciendo atención
las 24/7 al paciente.
",SignalB,Desarrollar una herramienta móvil o web que presente la facilidad de utilización en las diferentes plataformas para los estudiantes de Tecsup. En la cual se realizará él envió anónimo o privado a las autoridades nombradas en la institución para la solución de casos de bullying que esté presentando el estudiante ya sea por medio de la redacción de las situaciones que ha sufrido. Esta herramienta también serviría para recaudar datos de casos de bullying en las diferentes entidades educativas.  ,Automatización del proceso de selección de personal,"Dicho programa tiene como finalidad ayudar a las empresas a poder mejorar y facilitar el proceso de selección de personal para el área que se necesite, dando su mejor opción.","𝙏𝙪𝙗𝙤𝙙𝙚𝙜𝙖.𝙥𝙚
(Nombre pendiente...)","𝙏𝙪𝙗𝙤𝙙𝙚𝙜𝙖.𝙥𝙚 : Es una app la cual ayuda usuario a poder encontrar 
una bodega cerca de su localización la cual se mostrará en un mapa los 
puntos más cercanos. Ademas los usuarios registrados en la app
pueden agregar una bodega, junto con ello podemos darle una etiqueta 
de que se puede encontrar en la bodega (agente de banco, 
recarga de saldo u otros) y el poder calificar estas bodegas siendo estas
administradas por el propietario (una vez verificado)  o la misma app.",RuTrux,"“RuTrux” es una herramienta móvil la cual permite a los usuarios del transporte público en Trujillo (El Porvenir, La Esperanza, Florencia de Mora, entre otros) conocer e identificar las rutas de viaje interurbano para su destino, RuTrux te indicará que numero y/o letra de bus se debe tomar y de que empresa es dicho bus junto a su ruta correspondiente.","FOOD (Fresh, Organic and Original Food)","FOOD es una aplicación de comida casera que facilitará la hora de comer, contará con distintos platos de almuerzo para todos los gustos. Esto podría ayudar a muchos padres y jóvenes a obtener su comida de una forma accesible, económica y segura; debido a la falta de tiempo  para cocinar en estas fechas, donde el teletrabajo y las clases consumen la mayor parte de nuestros días.",SHOPPER,Aplicación para informar sobre el abastecimiento de ciertos productos con mayor demanda en las cadenas de supermercados y mercados más importantes del sector y permitir hacer compras a estas tiendas por medio de la aplicación con una persona que se encargará de hacer las compras y entregarselas al cliente 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A,ProSync,"ProSync es una plataforma colaborativa que ayuda a las empresas a organizar proyectos y sincronizar equipos en un solo lugar. Con tableros visuales y tareas dinámicas, permite asignar responsables, establecer plazos y dar seguimiento al progreso en tiempo real. Su objetivo es simplificar la gestión del trabajo y garantizar que cada proyecto avance de forma ordenada, productiva y sin perder comunicación entre los miembros del equipo.",,,TecMiner,"TecMiner es un sistema de gestión minera que permite controlar zonas de extracción, equipos y personal desde un panel web administrativo y una app móvil para trabajadores. Incluye un asistente de IA para consultas operativas y genera reportes automatizados de productividad y costos. La plataforma optimiza las operaciones mineras mediante el monitoreo en tiempo real y la centralización de información.",,,,"Plataforma diseñada para facilitar la gestión de reservas de espacios académicos en Tecsup. Permite a los profesores, estudiantes y personal administrativo realizar reservas de manera eficiente, consultar la disponibilidad en tiempo real y administrar los horarios de uso de los ambientes institucionales, optimizando así el aprovechamiento de los recursos físicos del campus.",,,TecsupRecord,Una aplicacion que ayude a registrar los proyectos integradores de la carrera de diseño y desarrollo de software desde el 2018 hasta la actualidad y futuro,,,Glassdoor,"Sitio web de bolsa de trabajo para Tecsup, que ayuda a la mejor conexion entre empleado y empleador, implentando resenas de las empresas, como  alquilando espacio para que las empresas promocionen sus listados. como membresias a los usuarios, y consigan ofertas laborales de manera rapida.",,,,,,Menu Tecsup,"Debido a la alta demanda de desayunos, nos hemos dicidido a desarrollar una aplicacion movil y pagina web, que permita a un usuario poder realizar un 
pedido previo, como primer paso se desarrollara un login principal, para el registro y acceso al usuario, por ende podra hacer uso de todas las funcionalidades
del sistema; como segundo paso, abra 3 paneles en la pagina principal, la cual consta de 1.- solicitar pedido (Sera un panel de los productos disponibles para escoger una de ellas),
2.- pagar pedido(Sera un panel donde se podra pagar el pedido solicitado mediante difentes formas de pago
como yape, plin o tarjeta )",Share Help,"Desarrollaremos una aplicación web o móvil que nos ayude a recopilar información mediante el uso de cuestionarios hacia el estudiante y a personas terceras (Padres, Profesores). Esta nos ayudará a comparar la información obtenida y así dará una respuesta sobre si el alumno está sometido bajo presiones o acosos.",la tia veneno*,"La Tia Veneno® es una app web SPA (Single Page Application) de la cadena de restaurantes peruana ""La Tia Veneno"", donde se mostrará las diferentes categorias de comida, y las lista de menus de cada una de estas. El cliente podra seleccionar las comidas que pedira, verlo en el carrito de pedidos y efectuar con el metodo de pago virtual.",TuHogar,"TuHogar : Es una plataforma donde podrás obtener una gran experiencia para poder encontrar en dónde gustaría  vivir  cuenta con departamento en alquiler o ventas variados en todo el PERÚ   , la cual esta plataforma te permitirá en  observar en tiempo real(tipo streaming en vivo)  muy detalladamente habitaciones,baños,salas,cocina,etc; pero previamente el cliente debe realizar una cita con el proveedor para poder entrar al streaming y navegar todo el area que ofrece el departamento.",ViGym,"ViGym será una plataforma que ayude a muchas personas en varios aspectos, ya sea física o emocionalmente.",VirtualGym,"Nuestro proyecto se basa en la integración de un aplicativo movil de gimnasio virtual, que va dirigida al público que le encante hacer ejercicio pero por motivo de la pandemia se le ha restringido acceder a los Gym de su localidad. por ende, el aplicativo se actualiza de acuerdo a las novedades. Principalmente, hay distintos planes cada uno mejor que el anterior, para aquellos usuarios que están más introducidos a hacer ejercicios desde la comodidad de su hogar característica superior al anterior, como por ejemplo, asistencia las 24 horas por un entrador, y un horario más extenso.",Offer Plaza,Centralizar las ofertas y promociones que ofrecen diversas empresas de distintos rubros en un aplicativo móvil. Ademas de informar a los usuarios sus horarios de atencion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6A,Liga1 Pro," una aplicación enfocada en la Liga 1 del Perú, que permitirá a los usuarios consultar partidos, resultados en tiempo real y estadísticas. Además, incluirá personalización mediante equipos favoritos y un chat para interacción entre usuarios. El sistema integrará inteligencia artificial para predecir resultados y analizar el rendimiento de los equipos.",,,UniRet,"UniRet es una plataforma digital diseñada para fortalecer la interacción social entre estudiantes de TECSUP, fomentando la colaboración, el apoyo mutuo y el trabajo en equipo. La aplicación permitirá crear grupos de interés, compartir experiencias, publicar contenidos y participar en foros temáticos de manera dinámica y segura. El objetivo es construir una comunidad estudiantil activa que potencie las habilidades comunicativas y sociales en un entorno confiable y motivador.",,,,Crear una aplicación interactiva y dinámica que permita a los ciudadanos informarse de manera clara y accesible sobre los planes de gobierno de los candidatos a la presidencia del Perú.,,,QuickRegister,"Es una solución avanzada para la gestión de inventario y ventas en minimarkets y tiendas de abarrotes. Este sistema integra comandos de voz a través de Alexa para simplificar la administración de productos, permitiendo agregar y eliminar artículos de forma rápida y precisa. Este proyecto automatiza el registro de ventas y mantiene el inventario actualizado en tiempo real, ofreciendo una herramienta intuitiva que optimiza el flujo de trabajo diario y mejora la eficiencia operativa en pequeños comercios.",,,Talentrade,Una plataforma Web/Móvil innovadora que permite a los vecinos ofrecer e intercambiar sus habilidades y servicios con otros usuarios.,,,,,,ReportaloYa,"Una aplicación web y móvil que funcione como un canal de denuncias anónimas de manera virtual en el que se asegure el que se busca proteger la seguridad del alumno. El acceso a la aplicación es mediante usuario y contraseña, en esta existirán 3 clases: el alumno, el tutor/psicologo y el personal administrativo. El alumno podrá ver una interfaz amigable y facil de entender para ver las recientes noticias reportadas en el cual solo se verán sin ver quien los reportó, el tutor/psicólogo podra ver una interfaz con las noticias pero con etiquetas que poseen los alumnos al crearse la cuenta (grado y sección) mas no podran ver el nombre de quien lo reporta, por ultimo el personal administrativo se encargará de poder darle el permiso a la cuenta de los profesores, para evitar que alumnos intenten hacerse pasar por uno. Además, a traves de IA y un chat interactivo se podrá identificar posibles alumnos que tengan problemas relacionados a su integridad.",,"Se trata también de un canal confidencial de comunicación entre alumnado que sufre acoso escolar o 
es testigo de una situación de este tipo y las personas que pueden ayudarles dentro del centro educativo.
La víctima o testigo inicia la conversación con un mensaje anónimo por cualquiera de las vías disponibles 
a través de la aplicación: SMS, Android app y iOS app, y Facebook gracias a la integración de Facebook Messenger.
De este modo, los responsables de un centro reciben estos mensajesen un panel de control que ofrece esta herramienta 
y a través del que pueden responder a los mensajes del alumnado.",Attend,"Es un aplicativo web cuya finalidad es que los alumnos de Tecsup confirmen su asistencia a clases y eventos organizados de manera presencial, además de hacer un seguimiento de todas sus asistencias.",Odebrecht Emotional,app de reconocimiento de emociones mediante manera fácial donde si muestra una emoción este mostrará un tip de ayuda para cada situación.,IntraGame,"Desarrollar un aplicativo móvil sobre noticias, actualizaciones, ofertas y demás respecto a Los videojuegos para gamers. Dicha aplicación contará con la opción de escoger las categorías de mayor interés en el usuario, para que así pueda filtrar la información general dependiendo de dichos intereses. Los usuarios podrán crear consultas abiertas y responderse entre ellos. Imaginemos un StackOverflow pero dedicado al Gaming para resumirlo.",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B,FireSupport IA,"Plataforma web y móvil que ayuda a los bomberos a recaudar fondos y gestionar campañas solidarias, conectándolos con ciudadanos y empresas. Permite realizar donaciones, difundir iniciativas y asegurar transparencia en el uso del dinero. Además, usa inteligencia artificial para optimizar campañas, analizar donaciones y mejorar su alcance",,,IntSoft,"Crear una plataforma digital dónde se pueda visualizar todos los proyectos integradores desde el año dónde se integró la carrera de Desarrollo de Software, el cual será una página dónde sesa de libre acceso tanto usuarios como docentes y público en general. Esta página contará con administradores en el cual podrán agregar, eliminar y modificar toda la información almacenada en la base de datos.",,,Luxury Clothes,"Luxury Clothes será una página de e-commerce dedicada a actuar como intermediario en la compra y venta de ropa de lujo, conectando compradores con prendas exclusivas de alta gama, de forma segura, confiable y con estilo.",,,MATHPLAY,"El fin de nuestro software es ofrecer una herramienta educativa efectiva e innovadora que mejore la forma en la que los estudiantes aprenden temas de matemáticas, además que ellos se diviertan, les interese y vean la app como un juego único y agradable.",,,BitMind,"Una aplicación que ofrece lecciones cortas y concisas sobre una amplia variedad de temas (también realizadas  y subidas por los usuarios), diseñadas para el aprendizaje en breves períodos de tiempo. Podría incluir formatos como imágenes, mini quizzes, documentos, y breves videos educativos. La valoración por parte de la comunidad será importante.",,,,"Tampus es un software diseñado para establecer una mejor comunicación entre estudiantes  de TECSUP que deseen arrendar una habitación o cuarto, y arrendatarios. Mediante la app, se podrá obtener mejor visualización de los sitios disponibles para arrendar (cerca de su centro de estudios) , además de mayor información de los arrendatarios para una mayor seguridad del cliente. Busca y establece comunicación con los arrendatarios desde la comodidad de tu casa.",,Del campo al barrio,"Una aplicacion web y movil que permite brindar un apoyo a los agricultores que cuentan con un excedente de productos y deseen venderlos para poder generar mayores ingresos, permite 2 funcionalidades principales de usuario y vendedor, uno orientado a la busqueda de informacion de productos en nuestro sistema y sus precios, mientras que el otro esta orientado mas a la publicacion del punto de venta donde abasteceran a los usuarios interesados.",SenSaludPe,"Aplicación la cual dará recomendaciones para el bienestar del usuario, recibiendo constantemente información de la temperatura del usuario mediante un sensor el cual funcionara mediante Arduino, lo que se quiere es que se haga un senso constante del estado del usuario para darle una notificación en cuanto sea necesario (si se detecte una temperatura corporal fuera de lo normal). La alerta sera enviada a traves del aplicativo, para que el usuario este al tanto de los cambios en su cuerpo con respecto a la temperatura, esto podria servirle para que tenga en cuenta los cuidados necesarios para no agravar su estado actual. Asi tambien, contara con una pagina web la cual servira para tener conocimiento del uso de la app, asi como de información del cuidado de la salud que podrian serle de utilidad al usuario, es decir, esta web sera de uso complementario al aplicativo.",EatFood,"Es un aplicativo de comida rapida que vende hamburguesas y pizzas, la cual tiene como finalidad que los usuarios hagan pedidos de manera virtual ya que incluye con el servicio de delivery",Adoptame.pe,"Adoptame.pe: Es una aplicacion movil acompañada con una pagina web, con la finalidad de buscarles un hogar a animales que han sido abandonados y postear en caso de perdidas las cuales se encontraran en su respectivo apartado. Nuestra meta es asociarnos con empresas que comparten nuestra vision sobre el cuidado de los animales ayudandonos con ciertas colaboraciones y donando para poder mejorar la aplicacion cada vez màs. Nuestras apps estaran disponibles para todos y sera muy facil de manejar pues se trata de un formato de vista y agregar contenido.",FasAdmin,FazAdmin es un sistema de inventario diseñado para gestionar y administrar negocios. De esta manera le permitirá visulizar sus egresos e ingresos,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
